gene,ensg,condition,top_disease,overall_status,kd_ok,ontarget_significant,effect_size,n_downstream,program_contrast,program_adj_p,n_program_contrasts_sig,disease_OR,disease_FDR,n_disease_clusters,effect_term,program_term,disease_term,novelty_bonus,chain_score,effect_status,program_status,disease_status
CYLD,ENSG00000083799,Rest,Crohn's disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-10.5119,95.0,Th2_vs_Th1 (Ota 2021),1.039e-56,1,4.651,0.0001227,2,2.4434,20.0,4.1731,0.25,33.2706,supported,supported,supported
STAT4,ENSG00000138378,Stim48hr,type 1 diabetes mellitus,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-16.7327,0.0,Th2_vs_Th1 (Ota 2021),7.854e-91,1,3.4347,0.0277,1,2.5649,20.0,2.5589,0.3,32.6611,supported,supported,supported
SLAMF1,ENSG00000117090,Stim48hr,atopic eczema,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-16.2071,5.0,Th2_vs_Th1 (Ota 2021),7.701e-156,2,3.4696,0.0356,1,2.5649,20.0,2.519,0.3,32.6092,supported,supported,supported
CCR5,ENSG00000160791,Rest,inflammatory bowel disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-12.3449,0.0,Th2_vs_Th1 (Ota 2021),7.907e-25,2,3.4654,0.0472,1,2.5649,20.0,2.4561,0.3,32.5273,supported,supported,supported
SAMHD1,ENSG00000101347,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-17.4447,0.0,Th2_vs_Th1 (Ota 2021),8.209e-32,1,2.2219,0.0025,1,2.5649,20.0,2.4528,0.3,32.5231,supported,supported,supported
MAP3K8,ENSG00000107968,Stim8hr,psoriasis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-11.1786,2.0,Th2_vs_Th1 (Ota 2021),1.859e-36,1,17.6014,0.0002632,7,2.4997,20.0,5.9275,0.1429,32.4882,supported,supported,supported
CAMK4,ENSG00000152495,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-14.7332,8.0,Th2_vs_Th1 (Ota 2021),2.303e-26,1,2.12,0.0029,1,2.5649,20.0,2.3529,0.3,32.3932,supported,supported,supported
PKIA,ENSG00000171033,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-17.2706,0.0,Th2_vs_Th1 (Ota 2021),1.24e-276,2,2.2219,0.005,1,2.5649,20.0,2.3023,0.3,32.3274,supported,supported,supported
KIF3A,ENSG00000131437,Stim8hr,atopic eczema,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-14.7343,0.0,Th2_vs_Th1 (Ota 2021),1.53e-33,1,2.9819,0.0404,1,2.5649,20.0,2.273,0.3,32.2894,supported,supported,supported
SPSB1,ENSG00000171621,Stim8hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-5.1908,0.0,Th2_vs_Th1 (Ota 2021),2.359e-110,2,3.0645,0.0018,1,1.8231,20.0,2.988,0.3,32.2544,supported,supported,supported
CCR2,ENSG00000121807,Rest,inflammatory bowel disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-8.6721,15.0,Th2_vs_Th1 (Ota 2021),2.381e-34,2,3.4654,0.0472,1,2.2692,20.0,2.4561,0.3,32.1429,supported,supported,supported
TMEM71,ENSG00000165071,Rest,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-18.4444,1.0,Th2_vs_Th1 (Ota 2021),1.399e-23,1,2.0975,0.0068,1,2.5649,20.0,2.1524,0.3,32.1326,supported,supported,supported
APOBR,ENSG00000184730,Rest,Crohn's disease,consistent with a validated gene -> program -> disease chain re-derived from the tables (with caveats),1,True,-17.4422,3.0,Th2_vs_Th1 (Ota 2021),1.09e-21,1,5.2985,0.0347,2,2.5649,20.0,3.1354,0.25,32.1255,flagged,supported,supported
STAT4,ENSG00000138378,Rest,Crohn's disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-16.1644,0.0,Th2_vs_Th1 (Ota 2021),7.854e-91,1,5.2985,0.0347,2,2.5649,20.0,3.1354,0.25,32.1255,supported,supported,supported
IL26,ENSG00000111536,Stim8hr,atopic eczema,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-6.9803,1.0,Th2_vs_Th1 (Ota 2021),9.41e-33,1,3.4304,0.0224,1,2.077,20.0,2.6033,0.3,32.0843,supported,supported,supported
MAP4K4,ENSG00000071054,Stim48hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-9.0344,0.0,Th2_vs_Th1 (Ota 2021),2.278e-71,2,2.5622,0.0095,1,2.306,20.0,2.3685,0.3,32.0769,supported,supported,supported
ADA2,ENSG00000093072,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-5.6163,1.0,Th2_vs_Th1 (Ota 2021),3.304e-19,1,3.0405,5.05e-06,1,1.8895,18.481,4.2527,0.3,32.0101,supported,supported,supported
PHGDH,ENSG00000092621,Stim48hr,multiple sclerosis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-20.6054,0.0,Th2_vs_Th1 (Ota 2021),8.958e-21,1,3.8202,0.0077,2,2.5649,20.0,2.9904,0.25,31.9442,supported,supported,supported
VIM,ENSG00000026025,Stim8hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-9.1488,37.0,Th2_vs_Th1 (Ota 2021),1.761e-30,2,2.5496,0.0184,1,2.3174,20.0,2.2179,0.3,31.8958,supported,supported,supported
PTGIR,ENSG00000160013,Rest,ulcerative colitis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-4.5058,0.0,Th2_vs_Th1 (Ota 2021),3.032e-55,2,4.1537,0.0303,1,1.7058,20.0,2.8137,0.3,31.8753,supported,supported,supported
MSRA,ENSG00000175806,Rest,Crohn's disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-9.6638,2.0,Th2_vs_Th1 (Ota 2021),1.004e-29,1,4.651,0.0001227,3,2.3669,20.0,4.1731,0.2,31.848,supported,supported,supported
SYTL2,ENSG00000137501,Stim48hr,rheumatoid arthritis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-12.3083,4.0,Th2_vs_Th1 (Ota 2021),3.316e-45,2,2.2471,0.0477,1,2.5649,20.0,1.8288,0.3,31.7119,supported,supported,supported
CHD7,ENSG00000171316,Stim48hr,atopic eczema,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-8.4086,1029.0,Th2_vs_Th1 (Ota 2021),3.099e-49,1,4.0035,0.0059,2,2.2416,20.0,3.1158,0.25,31.6968,supported,supported,supported
UBE2E3,ENSG00000170035,Stim48hr,ankylosing spondylitis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-20.2608,1.0,Th2_vs_Th1 (Ota 2021),6.644e-39,1,3.3994,0.0115,2,2.5649,20.0,2.7349,0.25,31.6249,supported,supported,supported
IL17RA,ENSG00000177663,Stim8hr,psoriasis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-13.4035,1.0,Th2_vs_Th1 (Ota 2021),2.51e-20,1,2.7504,0.0438,1,2.5649,19.6003,2.1389,0.3,31.5954,supported,supported,supported
ANKH,ENSG00000154122,Stim48hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-9.0178,6.0,Th2_vs_Th1 (Ota 2021),7.827e-35,1,2.3613,0.0318,1,2.3044,20.0,1.9884,0.3,31.5806,supported,supported,supported
IFI30,ENSG00000216490,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-13.4352,59.0,Th2_vs_Th1 (Ota 2021),1.315e-22,1,3.0405,5.05e-06,4,2.5649,20.0,4.2527,0.175,31.5107,supported,supported,supported
MAP3K1,ENSG00000095015,Stim48hr,psoriasis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-6.0278,1.0,Th2_vs_Th1 (Ota 2021),3.812e-43,1,2.7199,0.0208,1,1.9499,20.0,2.2845,0.3,31.5047,supported,supported,supported
VIM,ENSG00000026025,Stim48hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-10.0147,29.0,Th2_vs_Th1 (Ota 2021),1.761e-30,2,2.1668,0.0387,1,2.3992,20.0,1.8217,0.3,31.4872,supported,supported,supported
AGK,ENSG00000006530,Stim8hr,ankylosing spondylitis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-19.4614,9.0,Th2_vs_Th1 (Ota 2021),1.215e-41,1,3.2605,0.0167,2,2.5649,20.0,2.5937,0.25,31.4484,supported,supported,supported
SAMHD1,ENSG00000101347,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-25.1824,0.0,Th2_vs_Th1 (Ota 2021),8.209e-32,1,2.3196,0.002,2,2.5649,20.0,2.5634,0.25,31.4104,supported,supported,supported
PGAP3,ENSG00000161395,Rest,Crohn's disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-6.3482,0.0,Th2_vs_Th1 (Ota 2021),3.201e-26,1,4.651,0.0001227,3,1.9945,20.0,4.1731,0.2,31.4011,supported,supported,supported
APOBR,ENSG00000184730,Stim8hr,ankylosing spondylitis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-11.2394,0.0,Th2_vs_Th1 (Ota 2021),1.09e-21,1,3.2605,0.0167,2,2.5047,20.0,2.5937,0.25,31.373,supported,supported,supported
DRAM1,ENSG00000136048,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-10.886,0.0,Th2_vs_Th1 (Ota 2021),2.077e-32,1,2.3196,0.002,2,2.4754,20.0,2.5634,0.25,31.2984,supported,supported,supported
IGF1R,ENSG00000140443,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-8.7553,0.0,Th2_vs_Th1 (Ota 2021),4.225e-22,2,1.926,0.0255,1,2.2778,20.0,1.7423,0.3,31.2262,supported,supported,supported
IL21R,ENSG00000103522,Rest,rheumatoid arthritis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-8.5194,3.0,Th2_vs_Th1 (Ota 2021),2.677e-30,1,2.9229,0.0045,2,2.2533,20.0,2.7208,0.25,31.2177,supported,supported,supported
PHF12,ENSG00000109118,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-10.5269,122.0,Th2_vs_Th1 (Ota 2021),2.525e-22,1,2.2157,0.0025,2,2.4447,20.0,2.4488,0.25,31.1168,supported,supported,supported
GLUL,ENSG00000135821,Stim48hr,type 1 diabetes mellitus,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,False,-2.9194,14.0,Th2_vs_Th1 (Ota 2021),1.301e-52,2,3.4347,0.0277,1,1.3659,20.0,2.5589,0.3,31.1023,refuted,supported,supported
MAP3K1,ENSG00000095015,Rest,psoriasis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-5.6602,0.0,Th2_vs_Th1 (Ota 2021),3.812e-43,1,2.5307,0.0442,1,1.8961,20.0,2.0168,0.3,31.0869,supported,supported,supported
CADM1,ENSG00000182985,Stim48hr,autoimmune disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,False,-2.7791,0.0,Th2_vs_Th1 (Ota 2021),1.031e-81,2,2.3196,0.002,1,1.3295,20.0,2.5634,0.3,31.0607,refuted,supported,supported
CSF2RB,ENSG00000100368,Stim8hr,psoriasis,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,False,-2.6829,2.0,Th2_vs_Th1 (Ota 2021),1.32e-23,1,3.1208,0.0167,1,1.3037,20.0,2.5306,0.3,30.9845,refuted,supported,supported
TNFRSF1A,ENSG00000067182,Stim8hr,multiple sclerosis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-14.2767,7.0,Th2_vs_Th1 (Ota 2021),3.293e-24,1,2.8606,0.0438,2,2.5649,20.0,2.1956,0.25,30.9507,supported,supported,supported
PDE4D,ENSG00000113448,Stim8hr,autoimmune disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,False,-0.9959,0.0,Th2_vs_Th1 (Ota 2021),1.643e-45,2,2.5487,0.0003376,1,0.6911,20.0,3.0856,0.3,30.9097,refuted,supported,supported
TRAT1,ENSG00000163519,Rest,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-17.8865,0.0,Th2_vs_Th1 (Ota 2021),2.265e-61,1,2.0975,0.0068,2,2.5649,20.0,2.1524,0.25,30.8967,supported,supported,supported
GRAP2,ENSG00000100351,Stim8hr,autoimmune disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,False,-3.1158,1.0,Th2_vs_Th1 (Ota 2021),4.854e-28,1,2.2219,0.005,1,1.4148,20.0,2.3023,0.3,30.8323,refuted,supported,supported
IL2RB,ENSG00000100385,Stim48hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-14.72,1069.0,Th2_vs_Th1 (Ota 2021),6.524e-118,1,2.3613,0.0265,2,2.5649,20.0,2.028,0.25,30.7411,supported,supported,supported
GZMB,ENSG00000100453,Stim48hr,autoimmune disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,False,-2.1358,6.0,Th2_vs_Th1 (Ota 2021),1.776e-28,1,2.2157,0.0025,1,1.1429,20.0,2.4488,0.3,30.6692,refuted,supported,supported
UBE2E3,ENSG00000170035,Stim8hr,rheumatoid arthritis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-22.4407,0.0,Th2_vs_Th1 (Ota 2021),6.644e-39,1,3.0478,0.0018,3,2.5649,20.0,2.9801,0.2,30.6541,supported,supported,supported
M6PR,ENSG00000003056,Stim8hr,rheumatoid arthritis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-24.0265,2.0,Th2_vs_Th1 (Ota 2021),3.044e-24,1,2.2506,0.0288,2,2.5649,20.0,1.9406,0.25,30.632,supported,supported,supported
RNASET2,ENSG00000026297,Rest,Crohn's disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-7.3384,1.0,Th2_vs_Th1 (Ota 2021),5.953e-31,1,4.651,0.0001227,5,2.1209,20.0,4.1731,0.16,30.501,supported,supported,supported
PTPN22,ENSG00000134242,Rest,Crohn's disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-24.0391,0.0,Th2_vs_Th1 (Ota 2021),1.002e-47,1,4.651,0.0001227,8,2.5649,20.0,4.1731,0.1375,30.4146,supported,supported,supported
MAST4,ENSG00000069020,Stim8hr,autoimmune disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,False,-3.6736,5.0,Th2_vs_Th1 (Ota 2021),9.825e-75,2,1.9783,0.0184,1,1.5419,20.0,1.8519,0.3,30.4119,refuted,supported,supported
TMEM71,ENSG00000165071,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-16.9385,3.0,Th2_vs_Th1 (Ota 2021),1.399e-23,1,1.9239,0.0239,2,2.5649,20.0,1.7548,0.25,30.3997,supported,supported,supported
SELL,ENSG00000188404,Stim48hr,ankylosing spondylitis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-15.6056,0.0,Th2_vs_Th1 (Ota 2021),1.184e-60,1,3.3994,0.0115,3,2.5649,20.0,2.7349,0.2,30.3599,supported,supported,supported
IKZF1,ENSG00000185811,Rest,Crohn's disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-9.8826,26.0,Th2_vs_Th1 (Ota 2021),1.839e-39,1,4.651,0.0001227,7,2.3872,20.0,4.1731,0.1429,30.3546,supported,supported,supported
SELL,ENSG00000188404,Rest,rheumatoid arthritis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-17.3092,0.0,Th2_vs_Th1 (Ota 2021),1.184e-60,1,2.9229,0.0045,3,2.5649,20.0,2.7208,0.2,30.3429,supported,supported,supported
GRAP2,ENSG00000100351,Stim48hr,autoimmune disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,False,-2.74,16.0,Th2_vs_Th1 (Ota 2021),4.854e-28,1,2.018,0.0124,1,1.3191,20.0,1.9662,0.3,30.2709,refuted,supported,supported
SPEF2,ENSG00000152582,Stim48hr,rheumatoid arthritis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-7.8681,0.0,Th2_vs_Th1 (Ota 2021),2.192e-22,1,2.8071,0.0025,3,2.1825,20.0,2.7901,0.2,29.9671,supported,supported,supported
GADD45G,ENSG00000130222,Stim48hr,autoimmune disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,False,-3.4459,61.0,Th2_vs_Th1 (Ota 2021),4.248e-51,1,2.2157,0.0025,2,1.492,20.0,2.4488,0.25,29.926,refuted,supported,supported
SELL,ENSG00000188404,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-18.3832,0.0,Th2_vs_Th1 (Ota 2021),1.184e-60,1,2.2219,0.005,3,2.5649,20.0,2.3023,0.2,29.8407,supported,supported,supported
CYLD,ENSG00000083799,Stim8hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-6.2787,45.0,Th2_vs_Th1 (Ota 2021),1.039e-56,1,3.3018,0.0005511,4,1.985,20.0,3.3526,0.175,29.7717,supported,supported,supported
IL21R,ENSG00000103522,Stim48hr,Crohn's disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-12.0975,106.0,Th2_vs_Th1 (Ota 2021),2.677e-30,1,3.2947,0.0095,4,2.5649,20.0,2.7313,0.175,29.7231,supported,supported,supported
IL13,ENSG00000169194,Stim48hr,atopic eczema,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-12.6645,3.0,Th2_vs_Th1 (Ota 2021),5.806e-31,1,4.5639,0.0038,7,2.5649,20.0,3.4004,0.1429,29.6747,supported,supported,supported
IL13,ENSG00000169194,Stim8hr,rheumatoid arthritis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-7.5869,2.0,Th2_vs_Th1 (Ota 2021),5.806e-31,1,2.6365,0.0057,3,2.1502,20.0,2.5207,0.2,29.6051,supported,supported,supported
SBF2,ENSG00000133812,Stim8hr,rheumatoid arthritis,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,False,-0.988,1.0,Th2_vs_Th1 (Ota 2021),4.489e-40,1,3.0478,0.0018,2,0.6871,20.0,2.9801,0.25,29.5841,refuted,supported,supported
JAK2,ENSG00000096968,Rest,Crohn's disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-19.6999,26.0,Th2_vs_Th1 (Ota 2021),6.006e-86,2,5.2985,0.0347,2,2.5649,20.0,3.1354,0.15,29.5554,supported,supported,supported
CREM,ENSG00000095794,Stim48hr,Crohn's disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-5.5717,0.0,Th2_vs_Th1 (Ota 2021),6.54e-28,1,3.2947,0.0095,3,1.8828,20.0,2.7313,0.2,29.5369,supported,supported,supported
IFNG,ENSG00000111537,Stim48hr,rheumatoid arthritis,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,False,-1.1591,1.0,Th2_vs_Th1 (Ota 2021),2.826e-143,2,2.2471,0.0318,1,0.7697,20.0,1.9169,0.3,29.4925,refuted,supported,supported
CD44,ENSG00000026508,Stim8hr,type 1 diabetes mellitus,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-19.8771,3.0,Th2_vs_Th1 (Ota 2021),2.449e-36,1,4.0078,0.0052,7,2.5649,20.0,3.1448,0.1429,29.3826,supported,supported,supported
FEN1,ENSG00000168496,Stim8hr,Crohn's disease,consistent with a validated gene -> program -> disease chain re-derived from the tables (with caveats),1,True,-11.6926,32.0,Th2_vs_Th1 (Ota 2021),3.412e-30,1,3.6625,0.0031,7,2.541,20.0,3.1271,0.1429,29.335,flagged,supported,supported
F5,ENSG00000198734,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-20.7203,10.0,Th2_vs_Th1 (Ota 2021),3.646e-34,1,2.5487,0.0003376,7,2.5649,20.0,3.0856,0.1429,29.3149,supported,supported,supported
RNASET2,ENSG00000026297,Stim8hr,inflammatory bowel disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-8.2429,1.0,Th2_vs_Th1 (Ota 2021),5.953e-31,1,2.8934,0.0048,4,2.2239,20.0,2.6921,0.175,29.2763,supported,supported,supported
ALOX5AP,ENSG00000132965,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-10.3668,0.0,Th2_vs_Th1 (Ota 2021),3.577e-59,1,2.018,0.0124,3,2.4307,20.0,1.9662,0.2,29.2763,supported,supported,supported
FYB1,ENSG00000082074,Stim8hr,autoimmune disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,False,-0.8144,0.0,Th2_vs_Th1 (Ota 2021),2.747e-57,1,3.0405,5.05e-06,4,0.5958,20.0,4.2527,0.175,29.1969,refuted,supported,supported
STAT4,ENSG00000138378,Stim8hr,rheumatoid arthritis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-15.2612,0.0,Th2_vs_Th1 (Ota 2021),7.854e-91,1,3.0478,0.0018,7,2.5649,20.0,2.9801,0.1429,29.1944,supported,supported,supported
CD44,ENSG00000026508,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-18.5663,0.0,Th2_vs_Th1 (Ota 2021),2.449e-36,1,2.3196,0.002,5,2.5649,20.0,2.5634,0.16,29.1488,supported,supported,supported
TMBIM1,ENSG00000135926,Stim48hr,inflammatory bowel disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-16.2164,1.0,Th2_vs_Th1 (Ota 2021),2.181e-18,1,2.4162,0.0171,1,2.5649,17.6613,2.1562,0.3,29.0973,supported,supported,supported
CLEC2D,ENSG00000069493,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-19.6235,0.0,Th2_vs_Th1 (Ota 2021),9.694e-71,1,2.2157,0.0025,5,2.5649,20.0,2.4488,0.16,29.0159,supported,supported,supported
CCR2,ENSG00000121807,Stim8hr,type 1 diabetes mellitus,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-7.0254,3.0,Th2_vs_Th1 (Ota 2021),2.381e-34,2,4.0078,0.0052,2,2.0826,20.0,3.1448,0.15,29.0115,supported,supported,supported
ACVR2A,ENSG00000121989,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-7.3501,22.0,Th2_vs_Th1 (Ota 2021),5.446e-32,2,2.5487,0.0003376,2,2.1223,20.0,3.0856,0.15,28.989,supported,supported,supported
PPP2R5C,ENSG00000078304,Stim48hr,autoimmune disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,False,-2.7866,6.0,Th2_vs_Th1 (Ota 2021),6.148e-20,1,1.9239,0.0239,1,1.3315,19.2113,1.7548,0.3,28.9868,refuted,supported,supported
PTGIR,ENSG00000160013,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-6.8719,0.0,Th2_vs_Th1 (Ota 2021),3.032e-55,2,3.0405,5.05e-06,3,2.0633,20.0,4.2527,0.1,28.9476,supported,supported,supported
TRABD2A,ENSG00000186854,Stim48hr,ulcerative colitis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-11.3859,0.0,Th2_vs_Th1 (Ota 2021),2.961e-67,2,3.2147,0.0117,2,2.5166,20.0,2.6506,0.15,28.9422,supported,supported,supported
GALC,ENSG00000054983,Stim8hr,inflammatory bowel disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-10.8649,1.0,Th2_vs_Th1 (Ota 2021),3.589e-32,1,2.8934,0.0048,6,2.4736,20.0,2.6921,0.15,28.9406,supported,supported,supported
CDC42EP3,ENSG00000163171,Stim48hr,rheumatoid arthritis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-9.749,0.0,Th2_vs_Th1 (Ota 2021),3.193e-58,2,2.8071,0.0025,2,2.3748,20.0,2.7901,0.15,28.9397,supported,supported,supported
